번호	설치장소명	설치장소상세	설치시도명	설치시군구명	설치시설구분	서비스제공사명	와이파이SSID	설치연월	소재지도로명주소	소재지지번주소	관리기관명	관리기관전화번호	WGS84위도	WGS84경도	데이터기준일자
1	버스정류장 (06-137)	벽산테크노피아.성남소각장	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2018-05		경기도 성남시 중원구 상대원1동	스마트도시과	031-729-8522	37.431717	127.178317	2022-10-30
2	버스정류장 (06-138)	근로자종합복지관	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2020-05		경기도 성남시 중원구 상대원1동	스마트도시과	031-729-8522	37.438533	127.178767	2022-10-30
3	버스정류장 (06-088)	성남중원경찰서	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2015-05		경기도 성남시 중원구 상대원3동	스마트도시과	031-729-8522	37.442517	127.16785	2022-10-30
4	버스정류장 (06-139)	근로자종합복지관	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2015-05		경기도 성남시 중원구 상대원1동	스마트도시과	031-729-8522	37.438317	127.178517	2022-10-30
5	버스정류장 (06-140)	보통골동양공업사	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2019-03		경기도 성남시 중원구 상대원1동	스마트도시과	031-729-8522	37.4351	127.178967	2022-10-30
6	버스정류장 (06-142)	보통골동양공업사	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2019-03		경기도 성남시 중원구 상대원1동	스마트도시과	031-729-8522	37.434667	127.1788	2022-10-30
7	버스정류장 (06-143)	궁전아파트.성지아파트	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2018-05		경기도 성남시 중원구 상대원1동	스마트도시과	031-729-8522	37.4399	127.179017	2022-10-30
8	버스정류장 (06-146)	궁전아파트.성지아파트 (그린쉼터)	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2021-10		경기도 성남시 중원구 상대원1동	스마트도시과	031-729-8522	37.439717	127.17875	2022-10-30
9	버스정류장 (06-171)	에스콰이어	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2021-10		경기도 성남시 중원구 상대원1동	스마트도시과	031-729-8522	37.4393	127.17255	2022-10-30
10	버스정류장 (06-095)	은행1동행정복지센터	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2021-10		경기도 성남시 중원구 은행1동	스마트도시과	031-729-8522	37.451583	127.168767	2022-10-30
11	버스정류장 (06-226)	서울정형외과	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2019-03		경기도 성남시 중원구 상대원2동	스마트도시과	031-729-8522	37.43355	127.158967	2022-10-30
12	버스정류장 (06-153)	모란역4번출구	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2018-05		경기도 성남시 중원구 성남동_	스마트도시과	031-729-8522	37.430933	127.1294	2022-10-30
13	버스정류장 (06-154)	모란역 (그린쉼터)	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2018-05		경기도 성남시 중원구 성남동	스마트도시과	031-729-8522	37.431633	127.128883	2022-10-30
14	버스정류장 (06-155)	현대아파트.중원도서관	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2019-03		경기도 성남시 중원구 성남동	스마트도시과	031-729-8522	37.42905	127.140517	2022-10-30
15	버스정류장 (06-157)	성남농협.모란연세의원	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2015-05		경기도 성남시 중원구 성남동	스마트도시과	031-729-8522	37.43305	127.130617	2022-10-30
16	버스정류장 (06-158)	성일중고.성일정보고.동광중고	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2019-03		경기도 성남시 중원구 성남동	스마트도시과	031-729-8522	37.435917	127.1409	2022-10-30
17	버스정류장 (06-159)	성일중고.성일정보고.동광중고	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2018-05		경기도 성남시 중원구 성남동	스마트도시과	031-729-8522	37.43615	127.140917	2022-10-30
18	버스정류장 (06-160)	모란역2.3번출구	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2018-05		경기도 성남시 중원구 성남동_	스마트도시과	031-729-8522	37.43195	127.1294	2022-10-30
19	버스정류장 (06-161)	제일아파트.현대아파트.중원도서관	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2018-05		경기도 성남시 중원구 하대원동	스마트도시과	031-729-8522	37.429233	127.139317	2022-10-30
20	버스정류장 (06-162)	중원구청	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2021-10		경기도 성남시 중원구 성남동	스마트도시과	031-729-8522	37.430983	127.136283	2022-10-30
21	버스정류장 (06-163)	(구)성남동주민센터	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2020-05		경기도 성남시 중원구 성남동	스마트도시과	031-729-8522	37.43385	127.133833	2022-10-30
22	버스정류장 (06-164)	모란역.모란시장입구.풍생중고교	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2018-05		경기도 성남시 중원구 성남동	스마트도시과	031-729-8522	37.433467	127.129783	2022-10-30
23	버스정류장 (06-165)	성남종합운동장.성남동행정복지센터	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2019-03		경기도 성남시 중원구 성남동	스마트도시과	031-729-8522	37.434483	127.137883	2022-10-30
